answer	qid
The agriculturist tied some fiber onto the tail of the fox and in order to retaliate.	fables-05-5
The agriculturist	fables-05-6
The corn	fables-05-7
The agriculturist	fables-05-8
fire	fables-05-9
The agriculturist set a	fables-05-10
The agriculturist	fables-05-11
because ran the fox into field a	fables-05-12
The corn ignited and burned completely.	fables-05-13
He	fables-05-14
The agriculturist set a trap and caught the fox.	fables-05-15
The agriculturist set a trap and caught the fox.	fables-05-16
The young man	blogs-02-1
on the spot of the yard of the narrator	blogs-02-2
Later, when I was visiting the place where he died, I decided to talk to him as if he were still there because I wanted him to know how bad I felt that I couldnt help him.	blogs-02-3
because wanted it the man young to know the narrator regretting that aided it had not him	blogs-02-4
The narrator entered the house of the narrator and heard that the asleep family of the narrator was asleep.	blogs-02-5
The narrator saw some bright flash in a group of trees that was above the narrator.	blogs-02-6
"At first, my logical mind thought that it was my brother playing around with his new flashlight (not at all like it, but the closest thing I could imagine)
And when I went inside the house, everyone was snoring!"	blogs-02-7
A young man	blogs-02-8
The narrator	blogs-02-9
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man.	blogs-02-10
to wonder that the flash was an orb	blogs-02-11
The narrator saw some bright flash in a group of trees that was above the narrator.	blogs-02-12
A few years ago, a young man died out on my front lawn when he crashed his motorbike.	blogs-02-13
on the front yard of a narrator	blogs-02-14
the young man	blogs-02-15
The narrator	blogs-02-16
The narrator later went back to the spot of the yard of the narrator and decided to talk to the young man because it wanted the young man to know the narrator regretting that it had not aided him.	blogs-02-17
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man.	blogs-02-18
The narrator entered the house of the narrator and heard that the asleep family of the narrator was asleep.	blogs-02-19
The narrator stayed with the young man and didn't aid him because the young man had broken the neck of the young man.	blogs-02-20
The squirrel	blogs-04-1
The squirrel	blogs-04-2
The squirrel 's paw	blogs-04-3
themselves	blogs-04-4
Squirrels	blogs-04-5
But not quite, I saw his one little paw hanging on!	blogs-04-6
I had a digital camera	blogs-04-7
This is one of those times I wish I had a digital camera.	blogs-04-8
on the railing	blogs-04-9
on the deck in order for Benjamin	blogs-04-10
The squirrel approached the bowl.	blogs-04-11
for Benjamin to drink the bowl water 's	blogs-04-12
for birds the to wait	blogs-04-13
a large steel bowl of water	blogs-04-14
The birds drank the bowl's water.	blogs-04-15
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it.	fables-03-1
An Eagle	fables-03-2
it	fables-03-3
A countryman, who was a witness of the encounter, came to the assistance of the Eagle, and succeeded in freeing him from the Serpent and enabling him to escape.	fables-03-4
The serpent spat some poison in the drinking vessel.	fables-03-5
The serpent spat some poison in the drinking vessel.	fables-03-6
to sip from the drinking vessel	fables-03-7
The eagle	fables-03-8
The eagle spilled the drinking vessel.	fables-03-9
Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.	fables-03-10
Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.	fables-03-11
In revenge the Serpent spat some of his poison into the man's drinking-horn.	fables-03-12
An Eagle	fables-03-13
The eagle fought with the serpent, and the serpent coiled around him.	fables-03-14
A countryman, who was a witness of the encounter, came to the assistance of the Eagle, and succeeded in freeing him from the Serpent and enabling him to escape.	fables-03-15
A countryman, who was a witness of the encounter, came to the assistance of the Eagle, and succeeded in freeing him from the Serpent and enabling him to escape.	fables-03-16
a drinking vessel	fables-03-17
A countryman witness	fables-03-18
The eagle escaped, and the countryman freed the eagle from the serpent.	fables-03-19
The serpent spat some poison in the drinking vessel.	fables-03-20
Eagle	fables-03-21
An eagle	fables-03-22
The eagle fought with the serpent, and the serpent coiled around him.	fables-03-23
An eagle swooped toward a serpent and seized it in order for he to devour it.	fables-03-24
The eagle fought with the serpent, and the serpent coiled around him.	fables-03-25
A countryman who owned a drinking vessel	fables-03-26
in the drinking vessel	fables-03-27
Maxine was a happy frog that lived in a beautiful pond by the river.	mc500.train.25.0
in a beautiful pond	mc500.train.25.1
any rocks	mc500.train.25.2
Maxine was a happy frog that lived in a beautiful pond by the river.	mc500.train.25.3
Will stopped singing and went outside.	mc500.train.111.0
When at the store, Will had a good laugh at a very silly looking dog.	mc500.train.111.1
it start to thunder	mc500.train.111.2
Will got hungry and went inside to get a biscuit.	mc500.train.111.3
to the living room	mc500.train.111.4
to Miami to visit some friends .	mc500.train.0.1
a salad	mc500.train.0.2
Kristin	mc500.train.0.3
from Atlanta	mc500.train.0.4
Alyssa was happy to spend time with her friends again.	mc500.train.0.5
because tired they were .	mc500.train.0.6
The girls	mc500.train.0.7
she	mc500.train.0.8
The restaurant had a special on catfish.	mc500.train.0.9
fun	mc500.train.0.10
to a restaurant	mc500.train.0.11
at Ellen 's house	mc500.train.0.12
some lemonade to drink	mc500.train.0.13
After eating, the ladies went back to Ellen's house to have fun.	mc500.train.0.14
Alyssa was happy to spend time with her friends again.	mc500.train.0.15
Alyssa got to the beach after a long trip.	mc500.train.0.16
Alyssa got to the beach after a long trip.	mc500.train.0.18
Alyssa got to the beach after a long trip.	mc500.train.0.19
Alyssa	mc500.train.0.21
to house Ellen 's to have fun .	mc500.train.0.22
It was Saturday afternoon and Andrew was bored.	mc500.train.23.1
It was Saturday afternoon and Andrew was bored.	mc500.train.23.2
outside the window	mc500.train.23.3
Andrew looked outside the window and saw the newspaper by the door.	mc500.train.23.4
On the front	mc500.train.23.5
He had been watching TV all day.	mc500.train.23.6
the story	mc500.train.23.7
The circus was in town!	mc500.train.23.8
Andrew had never been to the circus.	mc500.train.23.9
your goldfish	mc500.train.23.10
The people and animals at the circus	mc500.train.23.11
"Andrew's dad said, ""I think the newspaper is here."	mc500.train.23.12
at the circus	mc500.train.23.13
to the circus	mc500.train.23.14
The elephant even went down a slide!	mc500.train.23.15
"andrew's dad said, ""i think the newspaper is here. maybe we can find an idea in the newspaper."""	mc500.train.23.16
"Andrew's dad said, ""I think the newspaper is here."	mc500.train.23.17
The elephant	mc500.train.23.18
The people and animals at the circus did lots of tricks.	mc500.train.23.19
it	mc500.train.23.20
Andrew and his dad went to the circus.	mc500.train.23.21
He promised to bring it some peanuts from the circus for later.	mc500.train.23.22
On the front was a picture of an elephant.	mc500.train.23.23
to bring home to goldfish the .	mc500.train.23.24
to her back yard	mc500.train.18.1
Kelly woke up one morning and went outside to her back yard.	mc500.train.18.2
Kelly woke up one morning and went outside to her back yard.	mc500.train.18.3
She was going to give her mom the biggest, most beautiful bunch of flowers her mother had ever seen.	mc500.train.18.4
a lot of different flowers	mc500.train.18.5
all of the flowers	mc500.train.18.6
She knew where the best flowers were in her yard.	mc500.train.18.7
in a secret spot	mc500.train.18.8
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.	mc500.train.18.9
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.	mc500.train.18.10
Finally, her mother woke up at 8:30 AM, and Kelly was excited!	mc500.train.18.11
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.	mc500.train.18.12
The red ones were big, the orange ones were small, and the green ones were in the middle.	mc500.train.18.13
them	mc500.train.18.14
Her mother's favorite was the red one.	mc500.train.18.15
Finally, her mother woke up at 8:30 AM, and Kelly was excited!	mc500.train.18.16
After Kelly collected all of the flowers, she went inside and tied them together with string.	mc500.train.18.17
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.	mc500.train.18.18
She hoped her baby sister Morgan, who was still in diapers, wouldn't find the flowers and eat them.	mc500.train.18.19
to hide the flowers in spot a secret .	mc500.train.18.20
because Day it was Mother 's and she had to collect flowers before woke her mom up to give to her as present a .	mc500.train.18.21
them	mc500.train.18.22
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.	mc500.train.18.23
